Ticker,Asset Name,Transaction Date,Disclosure Date,Type,Amount Range,Insider Title,Min Amount,Max Amount,Midpoint Amount
DIS,The Walt Disney Company,2019-08-09,08/09/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
DIS,The Walt Disney Company,2019-08-09,08/09/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
KR,The Kroger Co.,2019-08-08,08/08/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
KR,The Kroger Co.,2019-08-08,08/08/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
KR,The Kroger Co.,2019-08-07,08/07/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
STT,State Street Corporation,2019-08-07,08/07/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
KR,The Kroger Co.,2019-08-06,08/06/2019,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5
KR,The Kroger Co.,2019-08-05,08/05/2019,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5
NFLX,"Netflix, Inc.",2019-08-14,08/14/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
AMZN,"Amazon.com, Inc.",2019-08-14,08/14/2019,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5
WAT,Waters Corporation,2019-07-23,07/23/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
CMCSA,Comcast Corporation,2019-07-23,07/23/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
DOW,Dow Inc.,2019-08-22,08/22/2019,PURCHASE,"$50,001 - $100,000",Senator,50001,100000,75000.5
CVS,CVS Health Corporation,2019-07-23,07/23/2019,SALE (FULL),"$50,001 - $100,000",Senator,50001,100000,75000.5
UPS,"United Parcel Service, Inc.",2019-07-23,07/23/2019,SALE (FULL),"$100,001 - $250,000",Senator,100001,250000,175000.5
WMT,Walmart Inc.,2018-12-07,12/07/2018,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
SBUX,Starbucks Corporation,2018-12-07,12/07/2018,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
PG,The Procter &amp; Gamble Company,2018-12-07,12/07/2018,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
JPM,JPMorgan Chase &amp; Co.,2018-12-07,12/07/2018,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
MSFT,Microsoft Corporation,2018-12-07,12/07/2018,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
MDT,Medtronic plc,2018-12-07,12/07/2018,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
FRT,Federal Realty Investment Trust,2018-12-07,12/07/2018,SALE (FULL),"$1,001 - $15,000",Senator,1001,15000,8000.5
XOM,Exxon Mobil Corporation,2018-12-07,12/07/2018,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
DIS,The Walt Disney Company,2018-12-07,12/07/2018,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
CMCSA,Comcast Corporation,2018-12-07,12/07/2018,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
CSCO,"Cisco Systems, Inc.",2018-12-07,12/07/2018,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
CVS,CVS Health Corporation,2018-12-07,12/07/2018,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
AAPL,Apple Inc.,2018-12-07,12/07/2018,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
AMGN,Amgen Inc.,2018-12-07,12/07/2018,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
T,AT&amp;T Inc.,2019-07-25,07/25/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
KO,The Coca-Cola Company,2019-07-25,07/25/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
GE,General Electric Company,2019-07-25,07/25/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
PYPL,"PayPal Holdings, Inc.",2019-07-25,07/25/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
JCI,Johnson Controls International plc,2019-07-25,07/25/2019,SALE (FULL),"$1,001 - $15,000",Senator,1001,15000,8000.5
KR,The Kroger Co.,2019-08-02,08/02/2019,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5
ABBV,AbbVie Inc.,2019-07-15,07/15/2019,SALE (PARTIAL),"$15,001 - $50,000",Senator,15001,50000,32500.5
BMY,Bristol-Myers Squibb Company,2019-07-15,07/15/2019,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5
DOW,Dow Inc.,2019-07-15,07/15/2019,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5
DOW,Dow Inc.,2019-07-15,07/15/2019,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5
DD,"DuPont de Nemours, Inc.",2019-07-15,07/15/2019,SALE (FULL),"$1,001 - $15,000",Senator,1001,15000,8000.5
DD,"DuPont de Nemours, Inc.",2019-07-15,07/15/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
AIG,"American International Group, Inc.",2019-07-17,07/17/2019,SALE (FULL),"$50,001 - $100,000",Senator,50001,100000,75000.5
KO,The Coca-Cola Company,2019-06-05,06/05/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
MSFT,Microsoft Corporation,2019-06-10,06/10/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
INTC,Intel Corporation,2019-06-10,06/10/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
HBAN,Huntington Bancshares Incorporated,2019-06-10,06/10/2019,SALE (FULL),"$1,001 - $15,000",Senator,1001,15000,8000.5
XOM,Exxon Mobil Corporation,2019-06-10,06/10/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
C,Citigroup Inc.,2019-06-10,06/10/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
NSC,Norfolk Southern Corporation,2019-06-10,06/10/2019,SALE (FULL),"$1,001 - $15,000",Senator,1001,15000,8000.5
PYPL,"PayPal Holdings, Inc.",2019-06-25,06/25/2019,SALE (FULL),"$15,001 - $50,000",Senator,15001,50000,32500.5
WMT,Walmart Inc.,2019-06-21,06/21/2019,SALE (FULL),"$50,001 - $100,000",Senator,50001,100000,75000.5
NOC,Northrop Grumman Corporation,2019-06-21,06/21/2019,SALE (FULL),"$15,001 - $50,000",Senator,15001,50000,32500.5
TGT,Target Corporation,2019-06-21,06/21/2019,SALE (FULL),"$1,001 - $15,000",Senator,1001,15000,8000.5
NOC,Northrop Grumman Corporation,2019-06-21,06/21/2019,SALE (FULL),"$100,001 - $250,000",Senator,100001,250000,175000.5
FDX,FedEx Corporation,2019-06-26,06/26/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
OKE,"ONEOK, Inc.",2019-06-25,06/25/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
TRGP,Targa Resources Corp.,2019-06-24,06/24/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
TRGP,Targa Resources Corp.,2019-06-24,06/24/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
CTVA,"Corteva, Inc.",2019-06-17,06/17/2019,SALE (FULL),"$1,001 - $15,000",Senator,1001,15000,8000.5
CTVA,"Corteva, Inc.",2019-06-17,06/17/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
NWSA,News Corporation,2019-06-14,06/14/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
GLW,Corning Incorporated,2019-06-14,06/14/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
GLW,Corning Incorporated,2019-06-14,06/14/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
GLW,Corning Incorporated,2019-06-07,06/07/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
GLW,Corning Incorporated,2019-06-06,06/06/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
GLW,Corning Incorporated,2019-06-06,06/06/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
NFLX,"Netflix, Inc.",2018-08-23,08/23/2018,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
NFLX,"Netflix, Inc.",2018-10-24,10/24/2018,SALE (FULL),"$1,001 - $15,000",Senator,1001,15000,8000.5
