Ticker,Asset Name,Transaction Date,Disclosure Date,Type,Amount Range,Insider Title,Min Amount,Max Amount,Midpoint Amount,Stock Price at Trade,Stock Price 90D Later,Market (SPY) 90D Return,Stock 90D Return,Abnormal Alpha Return
AAPL,Apple Inc.,2020-03-24,03/24/2020,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,59.59770202636719,86.8669662475586,0.28310449747083355,0.4575556320800247,0.17445113460919115
NFLX,"Netflix, Inc.",2020-03-06,03/06/2020,PURCHASE,"$100,001 - $250,000",Senator,100001,250000,175000.5,36.89699935913086,41.43299865722656,0.052883856736735166,0.12293680724400653,0.07005295050727137
AAPL,Apple Inc.,2020-03-20,03/20/2020,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,55.33934020996094,85.1386947631836,0.3626750129288994,0.538484095404138,0.17580908247523858
NFLX,"Netflix, Inc.",2020-03-06,03/06/2020,PURCHASE,"$100,001 - $250,000",Senator,100001,250000,175000.5,36.89699935913086,41.43299865722656,0.052883856736735166,0.12293680724400653,0.07005295050727137
NVDA,NVIDIA Corporation,2020-03-06,03/06/2020,PURCHASE,"$50,001 - $100,000",Senator,50001,100000,75000.5,6.617311000823975,8.726076126098633,0.052883856736735166,0.31867402408804407,0.2657901673513089
AAPL,Apple Inc.,2020-03-06,03/06/2020,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,69.77287292480469,78.01980590820312,0.052883856736735166,0.11819683836562507,0.0653129816288899
MMM,3M Company,2020-03-09,03/09/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,96.52630615234375,113.28437042236328,0.1713445599190173,0.17361137018514852,0.002266810266131236
NVDA,NVIDIA Corporation,2020-02-11,02/11/2020,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,6.6593451499938965,8.02464771270752,-0.12241245029718581,0.20502054360628452,0.32743299390347036
NFLX,"Netflix, Inc.",2020-01-13,01/13/2020,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,33.891998291015625,37.071998596191406,-0.14671159374438833,0.09382746564161024,0.24053905938599857
NFLX,"Netflix, Inc.",2020-01-10,01/10/2020,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,32.904998779296875,37.071998596191406,-0.14084327086444673,0.12663728829907506,0.26748055916352176
NVDA,NVIDIA Corporation,2019-10-01,10/01/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,4.322189807891846,5.775128364562988,0.10032256228777137,0.33615797113265034,0.23583540884487897
NFLX,"Netflix, Inc.",2019-10-31,10/31/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,28.740999221801758,34.316001892089844,0.08207469182504064,0.19397386386132026,0.11189917203627962
NFLX,"Netflix, Inc.",2019-10-01,10/01/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,26.95800018310547,32.33100128173828,0.10032256228777137,0.19931007723636945,0.09898751494859809
AAPL,Apple Inc.,2019-10-03,10/03/2019,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,53.02132034301758,70.72029876708984,0.11370585649844567,0.33380870769663995,0.22010285119819428
NFLX,"Netflix, Inc.",2019-09-24,09/24/2019,PURCHASE,"$50,001 - $100,000",Senator,50001,100000,75000.5,25.458999633789062,33.310001373291016,0.0910174498402662,0.3083782494376622,0.21736079959739596
NFLX,"Netflix, Inc.",2019-08-14,08/14/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,29.910999298095703,29.201000213623047,0.09343802603959622,-0.023737056639156106,-0.11717508267875233
AAPL,Apple Inc.,2018-12-07,12/07/2018,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,39.97712326049805,41.10409927368164,0.04949690668743044,0.028190523010873433,-0.021306383676557007
NFLX,"Netflix, Inc.",2018-08-23,08/23/2018,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,33.91699981689453,26.21299934387207,-0.06847780544513939,-0.2271427459567043,-0.15866494051156493
AAPL,Apple Inc.,2018-10-24,10/24/2018,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,50.85630798339844,36.37302780151367,-0.003486466622531613,-0.28478827418248087,-0.28130180755994927
NVDA,NVIDIA Corporation,2019-05-17,05/17/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,3.8799588680267334,3.6918184757232666,0.0006807351940095302,-0.04849030587768862,-0.04917104107169815
AAPL,Apple Inc.,2018-12-19,12/19/2018,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,38.173892974853516,44.44721984863281,0.13547817668672496,0.16433552841759572,0.028857351730870756
AAPL,Apple Inc.,2018-12-06,12/06/2018,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,41.455291748046875,41.58542251586914,0.03375885810557391,0.003139062887632352,-0.030619795217941562
AAPL,Apple Inc.,2018-12-19,12/19/2018,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,38.173892974853516,44.44721984863281,0.13547817668672496,0.16433552841759572,0.028857351730870756
AAPL,Apple Inc.,2018-12-06,12/06/2018,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,41.455291748046875,41.58542251586914,0.03375885810557391,0.003139062887632352,-0.030619795217941562
AAPL,Apple Inc.,2019-01-25,01/25/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,37.43122863769531,48.915061950683594,0.10368113624963483,0.30679819313821366,0.20311705688857884
AAPL,Apple Inc.,2019-01-03,01/03/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,33.73701095581055,46.54888916015625,0.1780094129190442,0.3797573596880581,0.20174794676901392
AAPL,Apple Inc.,2019-01-04,01/04/2019,PURCHASE,"$50,001 - $100,000",Senator,50001,100000,75000.5,35.17719650268555,46.629905700683594,0.14285382170176542,0.32557197095350415,0.18271814925173874
NVDA,NVIDIA Corporation,2018-12-28,12/28/2018,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,3.3094146251678467,4.393552303314209,0.13802822797070186,0.32759197650895044,0.1895637485382486
AAPL,Apple Inc.,2018-11-27,11/27/2018,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,41.341400146484375,41.51632308959961,0.04751224385199401,0.004231180910550501,-0.043281062941443516
AAPL,Apple Inc.,2018-11-27,11/27/2018,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,41.341400146484375,41.51632308959961,0.04751224385199401,0.004231180910550501,-0.043281062941443516
AAPL,Apple Inc.,2018-11-27,11/27/2018,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,41.341400146484375,41.51632308959961,0.04751224385199401,0.004231180910550501,-0.043281062941443516
AAPL,Apple Inc.,2018-11-27,11/27/2018,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,41.341400146484375,41.51632308959961,0.04751224385199401,0.004231180910550501,-0.043281062941443516
AAPL,Apple Inc.,2018-11-27,11/27/2018,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,41.341400146484375,41.51632308959961,0.04751224385199401,0.004231180910550501,-0.043281062941443516
NVDA,NVIDIA Corporation,2018-10-23,10/23/2018,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,5.468371391296387,3.885868549346924,-0.020445073104515894,-0.2893919832270754,-0.2689469101225595
AAPL,Apple Inc.,2018-08-28,08/28/2018,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,51.94630432128906,41.43156433105469,-0.07315490491879914,-0.20241555443868484,-0.1292606495198857
NVDA,NVIDIA Corporation,2018-08-28,08/28/2018,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,6.7836408615112305,3.7860047817230225,-0.07315490491879914,-0.441891919248863,-0.3687370143300639
NFLX,"Netflix, Inc.",2018-08-24,08/24/2018,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,35.88199996948242,26.21299934387207,-0.07405073849449972,-0.26946660258162364,-0.1954158640871239
